model_name,rmse,mae,r2,adjusted_r2,mape,fold,model_type
linear_regression,1.093937600182258,0.6217773295045462,0.14391554685298724,0.14365706724756844,148.12629543567718,1,baseline
ridge,1.093865366775656,0.6216084063238266,0.14402859873964247,0.1437701532682475,147.88880550668915,1,baseline
lasso,1.1885449059475046,0.6716043041557479,-0.010561387714019599,-0.010866508905962302,108.17522736948007,1,baseline
linear_regression,1.029066704752241,0.6197959886864756,0.13590604496505365,0.1356451470317701,170.32633987453812,2,baseline
ridge,1.0290593799788068,0.619790964269249,0.1359183459556339,0.13565745173641763,170.32994784214603,2,baseline
lasso,1.1075994514790874,0.6767302387206796,-0.0010122151029792192,-0.0013144530906310514,99.77449836099697,2,baseline
linear_regression,0.9311403472704289,0.5795613774183368,0.16843835981455657,0.16818728444010445,182.41635118525238,3,baseline
ridge,0.9310204044709339,0.5795683771733389,0.1686525775906098,0.16840156689543795,182.8498408071716,3,baseline
lasso,1.0211331523328178,0.6565502395980661,-6.65673189310656e-05,-0.00036851978490903825,103.6411025693826,3,baseline
linear_regression,0.8156821851569276,0.5440261818603481,0.17258543784491198,0.17233561460754632,172.17631188533593,4,baseline
ridge,0.8156677500737142,0.5439168894402313,0.17261472300668113,0.1723649086114537,172.03254067058248,4,baseline
lasso,0.8970348296276214,0.6268539434085907,-0.0006905935339611702,-0.0009927344136513305,104.32801390833757,4,baseline
linear_regression,0.8275692241549614,0.5293829153840041,0.17669026858000214,0.17644168472389699,162.80270340460228,5,baseline
ridge,0.8275700330636979,0.5293872957506401,0.17668865908863718,0.17644007474657453,162.80822854607095,5,baseline
lasso,0.9128596199907032,0.6187640357669768,-0.0017574449630659572,-0.0020599079597334313,102.67834692537603,5,baseline
random_forest,1.0379744488817353,0.6142898202317092,0.22926543498497542,,260.31304486080035,1,advanced
gradient_boosting,1.0144200750120744,0.588033315503935,0.2638485350847114,,243.72570268701503,1,advanced
linear_sgd,1.021011284274127,0.608726913548514,0.2542511466631364,,227.58737999261706,1,advanced
lstm,1.0808699027807454,0.5480963445097033,0.16424620333147422,,155.32844387689397,1,advanced
random_forest,0.9482382855489557,0.5528988210859807,0.2663162749257487,,184.88489202342166,2,advanced
gradient_boosting,0.9514302502879065,0.5547353364624631,0.26136850122512445,,182.41697252084913,2,advanced
linear_sgd,0.9621175471377121,0.5887281343312496,0.24468139231976804,,192.12042862635727,2,advanced
lstm,0.9824923977212624,0.5807711983004863,0.21235175384773675,,185.05461544531698,2,advanced
random_forest,0.8533753329595475,0.49772987498272686,0.3015355174129757,,181.1783847347074,3,advanced
gradient_boosting,0.858637492799995,0.5054698331080366,0.29289509040036854,,185.59124610040644,3,advanced
linear_sgd,0.8684698777599615,0.5288890553594039,0.2766080427267875,,186.96696413395145,3,advanced
lstm,0.8845702547820186,0.529156350469271,0.2495378055553774,,186.27825817403894,3,advanced
random_forest,0.7374093272855594,0.4539178521774986,0.3237637327621927,,172.13488054255944,4,advanced
gradient_boosting,0.7418845085253215,0.4599754704550699,0.31553095709566237,,172.1983563562002,4,advanced
linear_sgd,0.7505830665882748,0.4911542631070067,0.2993861307961867,,180.01674574704057,4,advanced
lstm,0.7706552779889192,0.4931522696047416,0.26141323726042365,,189.10555790224072,4,advanced
random_forest,0.7616725516426882,0.4423685184695511,0.3025851413712608,,153.71613812169264,5,advanced
gradient_boosting,0.7668098168919585,0.4500785180147171,0.2931456844503457,,165.51079171242594,5,advanced
linear_sgd,0.7751592383528203,0.47838874139616155,0.27766868997554695,,157.33634918862884,5,advanced
lstm,0.7939203084692356,0.5027596750938873,0.24228059751012943,,184.4256302746586,5,advanced
stacked_ensemble,0.8045099667800637,,0.3527637133515408,,,all,ensemble
lstm,0.5320789304298821,,0.7168920117925925,,,all,deep_learning
